Gospels (89 days),, Pentateuch (107 days),,NT Paul (87 days),,Former Prophets + Ezekiel (98 days),,Latter Prophets (94 days),,"The Writings, Part I (86 days)",,"The Writings, Part 2    (85 days)",,"The Writings, Part 3 (101 days)",,NT Non-Paul (83 days),
John,21,Deuteronomy,2-3,,,Ezekiel,29-30,Zechariah,7-8,,,,,2 Chronicles,23,,
,,Deuteronomy,4,,,Ezekiel,31-32,Zechariah,9-10,,,,,2 Chronicles,24,,
,,Deuteronomy,5-6,,,Ezekiel,33-34,Zechariah,11-12,,,,,2 Chronicles,25,,
,,Deuteronomy,7-8,,,Ezekiel,35-36,Zechariah,13-14,,,,,2 Chronicles,26-27,,
,,Deuteronomy,9-10,,,Ezekiel,37-38,Malachi,1-2,,,,,2 Chronicles,28,,
,,Deuteronomy,11-12,,,Ezekiel,39-40,Malachi,3-4,,,,,2 Chronicles,29,,
,,Deuteronomy,13-14,,,Ezekiel,41-42,,,,,,,2 Chronicles,30,,
,,Deuteronomy,15-16,,,Ezekiel,43-44,,,,,,,2 Chronicles,31,,
,,Deuteronomy,17-18,,,Ezekiel,45-46,,,,,,,2 Chronicles,32,,
,,Deuteronomy,19-20,,,Ezekiel,47-48,,,,,,,2 Chronicles,33,,
,,Deuteronomy,21-22,,,,,,,,,,,2 Chronicles,34,,
,,Deuteronomy,23-24,,,,,,,,,,,2 Chronicles,35,,
,,Deuteronomy,25-26,,,,,,,,,,,2 Chronicles,36,,
,,Deuteronomy,27,,,,,,,,,,,,,,
,,Deuteronomy,28,,,,,,,,,,,,,,
,,Deuteronomy,29,,,,,,,,,,,,,,
,,Deuteronomy,30-31,,,,,,,,,,,,,,
,,Deuteronomy,32,,,,,,,,,,,,,,
,,Deuteronomy,33-34,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
